What is your age (# years)?,What is your gender?,In which country do you currently reside?,What is the highest level of formal education that you have attained or plan to attain within the next 2 years?,Select the title most similar to your current role (or most recent title if retired),What is the size of the company where you are employed?,Approximately how many individuals are responsible for data science workloads at your place of business?,Does your current employer incorporate machine learning methods into their business?,What is your current yearly compensation (approximate $USD)?,Approximately how much money have you spent on machine learning and/or cloud computing products at your work in the past 5 years?,What is the primary tool that you use at work or school to analyze data?,How long have you been writing code to analyze data (at work or at school)?,What programming language would you recommend an aspiring data scientist to learn first?,Have you ever used a TPU (tensor processing unit)?,For how many years have you used machine learning methods?
25-29,Male,Italy,Master’s degree,Data Scientist,Medium,5-9,We use ML methods for generating insights (but do not put working models into production),"25,000-29,999","$1000-$9,999",Local development environments,3-5 years,Python,Never,2-3 years
25-29,Male,Italy,Doctoral degree,Research Scientist,Small,0,We are exploring ML methods (and may one day put a model into production),"15,000-19,999",$0 (USD),Local development environments,5-10 years,Python,Never,2-3 years
30-34,Male,Ireland,Master’s degree,Data Analyst,Large,10-14,We are exploring ML methods (and may one day put a model into production),"50,000-59,999","$1000-$9,999",Local development environments,3-5 years,Other,Never,< 1 years
25-29,Female,Germany,Doctoral degree,Research Scientist,Enterprise,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","100,000-124,999","$10,000-$99,999",Local development environments,20+ years,Python,Used TPU,4-5 years
30-34,Male,Germany,Master’s degree,Data Scientist,Medium,3-4,"We have well established ML methods (i.e., models in production for more than 2 years)","60,000-69,999","$10,000-$99,999",Local development environments,3-5 years,Python,Never,4-5 years
25-29,Male,Netherlands,Master’s degree,Data Scientist,Small,3-4,We use ML methods for generating insights (but do not put working models into production),"60,000-69,999",$0 (USD),Local development environments,5-10 years,R,Never,3-4 years
30-34,Male,Italy,Doctoral degree,Software Engineer,Small,1-2,We are exploring ML methods (and may one day put a model into production),"50,000-59,999",$0 (USD),Local development environments,5-10 years,Python,Never,4-5 years
25-29,Male,Netherlands,Master’s degree,Data Scientist,Small,3-4,"We have well established ML methods (i.e., models in production for more than 2 years)","50,000-59,999","$10,000-$99,999",Cloud-based data software & APIs,3-5 years,Python,Used TPU,3-4 years
30-34,Male,Nigeria,Master’s degree,Data Analyst,Small,1-2,We are exploring ML methods (and may one day put a model into production),"3,000-3,999","$1000-$9,999",Other,5-10 years,R,Never,1-2 years
45-49,Male,Spain,Master’s degree,Data Scientist,Small,1-2,"We have well established ML methods (i.e., models in production for more than 2 years)","50,000-59,999","$1000-$9,999",Local development environments,3-5 years,Python,Never,3-4 years
45-49,Female,Portugal,Master’s degree,Data Scientist,Mid-Large,1-2,We are exploring ML methods (and may one day put a model into production),"20,000-24,999",$100-$999,Local development environments,1-2 years,Python,Never,1-2 years
35-39,Male,India,Master’s degree,Business Analyst,Enterprise,5-9,We are exploring ML methods (and may one day put a model into production),"30,000-39,999","$10,000-$99,999",Business intelligence software,3-5 years,Python,Never,< 1 years
35-39,Male,Other,Master’s degree,Data Scientist,Large,3-4,"We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999","> $100,000 ($USD)",Local development environments,10-20 years,R,Never,10-15 years
25-29,Female,Spain,Master’s degree,Data Analyst,Medium,1-2,We use ML methods for generating insights (but do not put working models into production),"30,000-39,999",$0 (USD),Local development environments,5-10 years,Python,Never,3-4 years
25-29,Male,Nigeria,Bachelor’s degree,Data Engineer,Small,3-4,No (we do not use ML methods),$0-999,$100-$999,Advanced statistical software,1-2 years,Python,Used TPU,1-2 years
25-29,Male,India,Bachelor’s degree,Other,Large,20+,We use ML methods for generating insights (but do not put working models into production),"7,500-9,999",$100-$999,Local development environments,1-2 years,Python,Never,1-2 years
25-29,Male,Netherlands,Master’s degree,Research Scientist,Mid-Large,10-14,We use ML methods for generating insights (but do not put working models into production),"25,000-29,999",$0 (USD),Local development environments,3-5 years,Python,Never,1-2 years
30-34,Male,Egypt,Doctoral degree,Software Engineer,Small,3-4,We are exploring ML methods (and may one day put a model into production),"5,000-7,499",$100-$999,Local development environments,1-2 years,Python,Never,1-2 years
35-39,Male,Israel,Doctoral degree,Research Scientist,Enterprise,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999","$10,000-$99,999",Local development environments,5-10 years,Python,Never,4-5 years
30-34,Male,Austria,Master’s degree,Data Scientist,Small,1-2,"We have well established ML methods (i.e., models in production for more than 2 years)","60,000-69,999",$0 (USD),Local development environments,5-10 years,SQL,Never,3-4 years
50-54,Male,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Software Engineer,Medium,0,No (we do not use ML methods),"100,000-124,999","$10,000-$99,999",Cloud-based data software & APIs,10-20 years,Other,Never,1-2 years
35-39,Female,Germany,Master’s degree,Research Scientist,Medium,5-9,We are exploring ML methods (and may one day put a model into production),"1,000-1,999",$100-$999,Other,1-2 years,Python,Never,1-2 years
35-39,Male,Denmark,Doctoral degree,Research Scientist,Small,10-14,"We recently started using ML methods (i.e., models in production for less than 2 years)","3,000-3,999",$0 (USD),Local development environments,5-10 years,Python,Never,1-2 years
25-29,Male,Bangladesh,Bachelor’s degree,Software Engineer,Medium,0,No (we do not use ML methods),"4,000-4,999",$0 (USD),Local development environments,< 1 years,Python,Never,< 1 years
25-29,Female,Poland,Master’s degree,Data Scientist,Large,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","25,000-29,999","$1000-$9,999",Local development environments,3-5 years,Python,Used TPU,2-3 years
30-34,Male,Ukraine,Doctoral degree,Product/Project Manager,Medium,1-2,No (we do not use ML methods),"30,000-39,999",$0 (USD),Basic statistical software,1-2 years,Python,Never,1-2 years
25-29,Male,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Other,Large,15-19,"We recently started using ML methods (i.e., models in production for less than 2 years)","50,000-59,999",$0 (USD),Business intelligence software,1-2 years,Python,Used TPU,1-2 years
30-34,Male,Russia,Master’s degree,Data Analyst,Large,10-14,"We recently started using ML methods (i.e., models in production for less than 2 years)","15,000-19,999","$10,000-$99,999",Other,3-5 years,SQL,Never,< 1 years
35-39,Male,India,Master’s degree,DBA/Database Engineer,Large,20+,We are exploring ML methods (and may one day put a model into production),"2,000-2,999",$100-$999,Cloud-based data software & APIs,1-2 years,SQL,Never,1-2 years
22-24,Male,India,Bachelor’s degree,Software Engineer,Small,5-9,We are exploring ML methods (and may one day put a model into production),$0-999,$1-$99,Basic statistical software,3-5 years,R,Used TPU,1-2 years
35-39,Male,Other,Bachelor’s degree,Data Analyst,Large,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","10,000-14,999","> $100,000 ($USD)",Local development environments,1-2 years,Python,Never,< 1 years
25-29,Male,India,Master’s degree,Business Analyst,Medium,10-14,We are exploring ML methods (and may one day put a model into production),"80,000-89,999",$0 (USD),Basic statistical software,1-2 years,Python,Never,< 1 years
50-54,Female,Ukraine,I prefer not to answer,Other,Large,0,No (we do not use ML methods),"5,000-7,499",$100-$999,Cloud-based data software & APIs,< 1 years,Python,Never,< 1 years
25-29,Male,Viet Nam,Master’s degree,Data Scientist,Small,5-9,"We recently started using ML methods (i.e., models in production for less than 2 years)","7,500-9,999",$0 (USD),Local development environments,3-5 years,Python,Never,1-2 years
35-39,Male,Morocco,Professional degree,Data Analyst,Medium,3-4,"We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999",$100-$999,Advanced statistical software,3-5 years,Other,Used TPU,5-10 years
25-29,Female,Portugal,Master’s degree,Data Scientist,Mid-Large,10-14,"We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999","$1000-$9,999",Cloud-based data software & APIs,3-5 years,Python,Never,3-4 years
35-39,Male,Russia,Master’s degree,Research Scientist,Mid-Large,3-4,We are exploring ML methods (and may one day put a model into production),"4,000-4,999",$0 (USD),Local development environments,3-5 years,Python,Used TPU,3-4 years
40-44,Male,France,Master’s degree,Data Analyst,Enterprise,10-14,We are exploring ML methods (and may one day put a model into production),"40,000-49,999","$10,000-$99,999",Basic statistical software,3-5 years,Other,Used TPU,4-5 years
25-29,Male,Russia,Master’s degree,Software Engineer,Large,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","15,000-19,999",$0 (USD),Cloud-based data software & APIs,3-5 years,Python,Never,2-3 years
30-34,Male,China,Master’s degree,Data Analyst,Mid-Large,1-2,No (we do not use ML methods),"15,000-19,999",$100-$999,Local development environments,1-2 years,SQL,Used TPU,< 1 years
25-29,Male,China,Master’s degree,Research Scientist,Large,15-19,"We recently started using ML methods (i.e., models in production for less than 2 years)","4,000-4,999",$0 (USD),Other,3-5 years,Python,Never,3-4 years
25-29,Male,India,Master’s degree,Other,Small,1-2,We are exploring ML methods (and may one day put a model into production),$0-999,$0 (USD),Basic statistical software,3-5 years,Python,Used TPU,2-3 years
25-29,Female,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Data Scientist,Small,3-4,"We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999",$100-$999,Other,1-2 years,Other,Never,< 1 years
22-24,Male,Spain,Bachelor’s degree,Business Analyst,Medium,5-9,We use ML methods for generating insights (but do not put working models into production),"40,000-49,999",$1-$99,Local development environments,1-2 years,R,Never,1-2 years
50-54,Male,South Africa,Bachelor’s degree,Other,Medium,1-2,No (we do not use ML methods),"80,000-89,999",$0 (USD),Cloud-based data software & APIs,20+ years,Python,Used TPU,2-3 years
25-29,Male,Italy,Master’s degree,Data Engineer,Small,0,I do not know,$0-999,$0 (USD),Other,1-2 years,Python,Never,< 1 years
30-34,Male,Australia,Master’s degree,Data Scientist,Mid-Large,10-14,"We recently started using ML methods (i.e., models in production for less than 2 years)","90,000-99,999","> $100,000 ($USD)",Local development environments,3-5 years,R,Never,4-5 years
55-59,Male,Ireland,Master’s degree,Product/Project Manager,Mid-Large,1-2,No (we do not use ML methods),"125,000-149,999",$0 (USD),Cloud-based data software & APIs,5-10 years,Python,Never,2-3 years
25-29,Male,Indonesia,Master’s degree,Data Scientist,Small,1-2,We use ML methods for generating insights (but do not put working models into production),"1,000-1,999","$10,000-$99,999",Local development environments,1-2 years,R,Never,< 1 years
30-34,Female,Spain,Master’s degree,Data Scientist,Medium,20+,We use ML methods for generating insights (but do not put working models into production),"30,000-39,999",$0 (USD),Local development environments,5-10 years,Python,Never,1-2 years
50-54,Male,Sweden,Master’s degree,Data Engineer,Mid-Large,5-9,We are exploring ML methods (and may one day put a model into production),"70,000-79,999",$100-$999,Local development environments,10-20 years,Python,Never,1-2 years
22-24,Male,India,Master’s degree,Statistician,Small,0,I do not know,$0-999,$0 (USD),Local development environments,3-5 years,R,Never,1-2 years
25-29,Male,China,Professional degree,Data Scientist,Small,5-9,"We recently started using ML methods (i.e., models in production for less than 2 years)","1,000-1,999",$100-$999,Local development environments,1-2 years,Python,Used TPU,2-3 years
35-39,Male,India,Master’s degree,Business Analyst,Large,20+,"We recently started using ML methods (i.e., models in production for less than 2 years)","60,000-69,999","$1000-$9,999",Basic statistical software,< 1 years,Python,Never,< 1 years
60-69,Male,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Business Analyst,Small,1-2,We are exploring ML methods (and may one day put a model into production),"150,000-199,999",$100-$999,Local development environments,20+ years,Python,Never,10-15 years
